,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
84,84,1581754578487234562,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@sonicdrivein yo, why aren’t y’all in Grubhub. I mad hungry and I don’t wanna drive.#disappointed",0,,,
85,85,1581753646265827329,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@sonicdrivein the fried cookie dough bites are good, been a long time since the cheesecake bites, js. #bringemback",0,,,
86,86,1581753007704014849,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@sonicdrivein This is ridiculous.... I ordered a Cheesesteak from the Sonic Drive-In Waldorf, MD and I get it on a flimsy foot long hot dog bun !!! Hot dog buns are made for hot dogs ! Not cheesesteaks ! https://t.co/2eF8NMPT9H",0,,,
87,87,1581752885104488449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Arnold Palmer add Peach flavor from @sonicdrivein &gt;&gt;&gt;&gt;&gt;,1,,,
88,88,1581743609069547520,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Congrats Cyrus @sonicdrivein in Saint Joseph. U got a top rating on https://t.co/ehiyu0GrTU #sonic,0,,,
89,89,1581743606125465600,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Cyrus in Saint Joseph got a top rating on https://t.co/ehiyu0YB82 Follow &amp; we'll DM the info. #howdididotoday,0,,,
90,90,1581741611813285888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein give them people a raise lil john at the window just did a lot😂😂,0,,,
91,91,1581740775880396800,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Shit I want to try @sonicdrivein breakfast since now I know you can order it anytime of the day; 🤣🤣🤣,0,,,
92,92,1581738936962977792,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@SaycheeseDGTL Buggin @SHAQ , u gotta get with @sonicdrivein pretzels 😍🥺THOSE BITCHES ARE AMAZING 😫",0,,,
93,93,1581724604048977920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein has amazing biscuits,0,,,
94,94,1581722200733646849,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 19, 'quote_count': 0}","A local @sonicdrivein with solar paneling. Great application of sustainable design, and given the architecture of the drive-in parking areas, it integrates really nicely. https://t.co/8A78kezny0",19,,,
95,95,1581722153514569728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Congrats Kayla @sonicdrivein in Buffalo. U got a top rating on https://t.co/ehiyu0YB82 #sonic,0,,,
96,96,1581722149815218176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Kayla in Buffalo got a top rating on https://t.co/ehiyu0YB82 Follow &amp; we'll DM the info. #howdididotoday,0,,,
